transaction_id,timestamp,sender_account,beneficiary_account,is_fraud_label,is_fraud_ground_truth,amount,hour_of_day,day_of_week,sender_idx,beneficiary_idx,sender_txn_count_1h,sender_txn_count_24h,sender_avg_amount_24h,sender_std_amount_24h,pair_txn_count_24h,seconds_since_last_pair_txn,beneficiary_inbound_count_1h,beneficiary_unique_senders_24h
TX0005920,2026-01-01 00:06:07.103584816,A014,A025,0,0,802.85,0.0,3.0,14.0,25.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
TX0002774,2026-01-01 00:16:11.273108311,A027,A026,0,0,512.46,0.0,3.0,27.0,26.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
TX0004917,2026-01-01 00:55:27.233544210,A013,A019,1,1,9953.1,0.0,3.0,13.0,19.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
TX0002261,2026-01-01 00:58:15.514303884,A006,A015,0,0,384.59,0.0,3.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
TX0004823,2026-01-01 01:12:17.856073056,A029,A002,0,0,1337.56,1.0,3.0,29.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
TX0005040,2026-01-01 01:21:16.865221103,A003,A008,0,0,433.24,1.0,3.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
TX0000691,2026-01-01 01:46:52.219681897,A009,A006,0,0,104.29,1.0,3.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
TX0002421,2026-01-01 02:14:32.709132384,A019,A024,0,0,242.07,2.0,3.0,19.0,24.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
TX0001225,2026-01-01 02:16:20.137577606,A015,A012,0,0,185.54,2.0,3.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
TX0005959,2026-01-01 02:27:42.602248601,A014,A018,0,0,664.06,2.0,3.0,14.0,18.0,0.0,1.0,802.85,0.0,0.0,-1.0,0.0,0.0
TX0003848,2026-01-01 02:34:17.070686338,A006,A018,0,0,432.34,2.0,3.0,6.0,18.0,0.0,1.0,384.59,0.0,0.0,-1.0,1.0,1.0
TX0002228,2026-01-01 02:45:04.649573178,A029,A002,0,0,385.27,2.0,3.0,29.0,2.0,0.0,1.0,1337.56,0.0,1.0,5566.7935,0.0,1.0
