transaction_id,timestamp,amount,sender_account,beneficiary_account,is_fraud_ground_truth,is_fraud_label,fraud_pattern
TX0005920,2026-01-01 00:06:07.103584816,802.85,A014,A025,0,0,normal
TX0002774,2026-01-01 00:16:11.273108311,512.46,A027,A026,0,0,normal
TX0004917,2026-01-01 00:55:27.233544210,9953.1,A013,A019,1,1,circular
TX0002261,2026-01-01 00:58:15.514303884,384.59,A006,A015,0,0,normal
TX0004823,2026-01-01 01:12:17.856073056,1337.56,A029,A002,0,0,normal
TX0005040,2026-01-01 01:21:16.865221103,433.24,A003,A008,0,0,normal
TX0000691,2026-01-01 01:46:52.219681897,104.29,A009,A006,0,0,normal
TX0002421,2026-01-01 02:14:32.709132384,242.07,A019,A024,0,0,normal
TX0001225,2026-01-01 02:16:20.137577606,185.54,A015,A012,0,0,normal
TX0005959,2026-01-01 02:27:42.602248601,664.06,A014,A018,0,0,normal
TX0003848,2026-01-01 02:34:17.070686338,432.34,A006,A018,0,0,normal
TX0002228,2026-01-01 02:45:04.649573178,385.27,A029,A002,0,0,normal
TX0001548,2026-01-01 02:47:10.606802416,673.68,A004,A002,0,0,normal
TX0005283,2026-01-01 03:13:29.261908250,16341.23,A019,A021,1,1,repeated_pair
TX0002156,2026-01-01 03:43:30.832012492,95.1,A014,A024,0,0,normal
TX0001900,2026-01-01 04:02:58.815187566,2782.2,A010,A017,0,0,normal
TX0000856,2026-01-01 04:10:05.406493380,2448.19,A020,A013,0,0,normal
TX0002908,2026-01-01 04:56:43.440115463,614.21,A010,A029,0,0,normal
TX0003990,2026-01-01 05:04:07.136823372,1268.72,A022,A026,0,0,normal
TX0001413,2026-01-01 05:12:31.024017328,318.56,A010,A007,0,0,normal
TX0003168,2026-01-01 05:19:00.492647890,9778.55,A021,A030,1,0,structuring
TX0000764,2026-01-01 05:21:08.387866281,68.33,A021,A009,0,0,normal
TX0000599,2026-01-01 05:50:51.757395647,273.1,A023,A016,0,0,normal
TX0003965,2026-01-01 06:01:41.961531735,449.81,A005,A028,0,0,normal
TX0003725,2026-01-01 06:02:03.237191382,323.3,A003,A026,0,0,normal
TX0001462,2026-01-01 06:12:07.312201955,270.99,A011,A009,0,0,normal
TX0000950,2026-01-01 06:36:43.148362082,1705.9,A011,A024,0,0,normal
TX0003555,2026-01-01 06:38:51.422419129,939.93,A014,A021,0,0,normal
TX0003797,2026-01-01 06:49:17.571395007,336.04,A026,A023,0,0,normal
TX0001142,2026-01-01 06:55:42.999560300,191.79,A017,A012,0,0,normal
TX0002634,2026-01-01 07:15:45.134372915,539.57,A017,A021,0,0,normal
TX0004223,2026-01-01 07:42:30.391419194,978.25,A024,A005,0,0,normal
TX0002553,2026-01-01 07:52:15.710782077,377.87,A015,A010,0,0,normal
TX0004448,2026-01-01 08:13:53.898307438,333.29,A030,A005,0,0,normal
TX0003405,2026-01-01 08:27:22.303659041,293.45,A015,A021,0,0,normal
TX0003475,2026-01-01 08:28:31.357574256,758.53,A013,A011,0,0,normal
TX0002314,2026-01-01 08:30:55.573831801,488.72,A015,A028,0,0,normal
TX0001929,2026-01-01 08:31:04.581183022,369.97,A011,A003,0,0,normal
TX0005522,2026-01-01 08:47:05.880995467,182.1,A023,A024,0,0,normal
TX0000349,2026-01-01 09:18:01.707286093,1243.77,A024,A026,0,0,normal
TX0000696,2026-01-01 09:25:31.516534805,9797.82,A021,A019,1,1,structuring
TX0002779,2026-01-01 09:36:16.663668696,1287.86,A002,A008,0,0,normal
TX0005785,2026-01-01 09:49:20.963042410,489.49,A010,A024,0,0,normal
TX0000281,2026-01-01 09:58:35.775186917,287.21,A028,A018,0,0,normal
TX0005364,2026-01-01 10:25:33.209518524,550.47,A011,A017,0,0,normal
TX0004120,2026-01-01 10:52:15.271810153,16300.92,A030,A003,1,1,circular
TX0004363,2026-01-01 10:56:03.403962771,1281.88,A022,A015,0,0,normal
TX0005760,2026-01-01 11:11:27.467217476,842.18,A011,A008,0,0,normal
TX0003835,2026-01-01 12:11:09.856953198,301.53,A003,A030,0,0,normal
TX0003571,2026-01-01 12:33:10.180612934,578.19,A021,A011,0,0,normal
TX0004463,2026-01-01 13:04:48.387104984,200.3,A001,A007,0,0,normal
TX0001198,2026-01-01 13:09:18.008663506,860.58,A005,A023,0,0,normal
TX0005332,2026-01-01 13:37:32.100441987,2743.69,A023,A007,0,0,normal
TX0000916,2026-01-01 13:39:40.450611535,614.28,A022,A018,0,0,normal
TX0005183,2026-01-01 13:48:41.419194452,188.11,A010,A018,0,0,normal
TX0004715,2026-01-01 14:12:34.921570487,884.17,A017,A006,0,0,normal
